Track URI,Track Name,Artist Name(s),Album URI,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Kansas,spotify:album:7MejfRSNnrpcLZIxkeZDqR,False,79,0.482,0.786,7.0,-5.735,1.0,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4.0
spotify:track:2yQE97SDcYvpRUzWRAbQP9,Red Roses for a Blue Lady (Rerecorded),Vic Dana,spotify:album:1EtkJD1xnlU82x9a21kaD9,False,17,0.353,0.362,4.0,-13.497,1.0,0.0345,0.498,0.0,0.0857,0.475,110.045,4.0
spotify:track:497Fkp3gRiGrRMoqBTDudr,California - Tchad Blake Mix,Phantom Planet,spotify:album:4SvTjA2cwASS1cWzEIG0WD,False,67,0.4,0.805,4.0,-7.305,1.0,0.0407,0.0387,5.4e-05,0.109,0.324,158.459,4.0
spotify:track:1oVW2OSHLFo01CUih7sonk,3 Words,"Cheryl, will.i.am",spotify:album:3ao7El5qj953dxb01PBhPG,False,43,0.75,0.58,9.0,-7.505,1.0,0.0319,0.713,0.00318,0.0986,0.51,130.024,4.0
spotify:track:4SxNSszQR7aK8WlRnemoYj,Songbird,Bernard Fanning,spotify:album:0YNFZaLpBVQlTA75IqsRxB,False,31,0.58,0.776,6.0,-6.965,0.0,0.0273,0.102,0.000213,0.183,0.866,80.54,4.0
spotify:track:2iITB7MNdnEcXdd0vvJpPT,Breaking Up The Girl - 2021 Remaster,Garbage,spotify:album:0oofioVRjS31kC0nM7UvHG,False,14,0.521,0.675,2.0,-6.83,1.0,0.0286,0.00285,0.0,0.347,0.48,125.028,4.0
spotify:track:1X7PKKDSLGw7eqZz2Pzgtz,Long Live The Weekend,The Living End,spotify:album:3UGJjvcY3reGR8EwomJYoA,False,26,0.205,0.943,0.0,-3.385,1.0,0.0721,1.93e-05,2.62e-06,0.363,0.254,167.67,4.0
spotify:track:0CkxNpmg58xn1PTuHNOPns,When Will I Be Famous?,Bros,spotify:album:2Fge13BVj9xQN1VAzylpu5,False,47,0.645,0.801,0.0,-6.731,1.0,0.028,0.00252,3.4e-05,0.15,0.46,123.471,4.0
spotify:track:1OhyE4pJdNDLvBjJsc6mo3,Let Me Down Easy,Sheppard,spotify:album:6BfgDdkVUsERG4SZQTbO97,False,45,0.556,0.588,9.0,-6.274,1.0,0.0325,0.307,0.0,0.0956,0.298,144.979,4.0
spotify:track:0GrrLYCH8u81aENhC8FBF4,That's Not My Name,The Ting Tings,spotify:album:4wj8lA3aSK4WjHjdf5zuFn,False,56,0.755,0.901,9.0,-3.152,1.0,0.0893,0.0451,0.0373,0.363,0.959,145.042,4.0
spotify:track:3WimzuWXQt4bnd4jcv0Gov,Instant Replay,Dan Hartman,spotify:album:3Sv1qO5IxLep7mOBuQ8fi7,False,45,0.754,0.724,9.0,-6.058,0.0,0.0656,0.0158,0.000405,0.0611,0.954,128.925,4.0
spotify:track:5EAgXGJ8Kw5QAfhQkZXYqT,Master Blaster (Jammin'),Stevie Wonder,spotify:album:2tO3rrZ6q3OjHJMGVo13dh,False,66,0.877,0.422,10.0,-14.933,0.0,0.0546,0.04,0.000406,0.182,0.97,131.103,4.0
spotify:track:528CAH5pTLq86oZ52fHifA,The Flame,Cheap Trick,spotify:album:1aYjx4tcmci0lYwT5sKgvM,False,68,0.629,0.581,4.0,-11.856,1.0,0.027,0.513,2.06e-06,0.0755,0.359,97.074,4.0
spotify:track:6dgRHDTQJSoMQgVWPg323F,This Boys In Love,The Presets,spotify:album:3gHuqLrIkfxDHXE29JGf5Y,False,45,0.484,0.971,10.0,-2.746,0.0,0.0416,0.00137,0.00382,0.331,0.92,122.948,4.0
